DistrictType/district_type/=CityCenterdisplay_name|City Center
DistrictType/district_type/=CityCenterdescription|The beating downtown heart that is the most prized area for the wealthy.
DistrictType/district_type/=SecondaryCivicHubdisplay_name|Secondary Civic Hub
DistrictType/district_type/=SecondaryCivicHubdescription|A smaller region of intense development and progress, distinct from the central city hub.
DistrictType/district_type/=DecrepitPartOfTowndisplay_name|Decrepit Part Of Town
DistrictType/district_type/=DecrepitPartOfTowndescription|This part of town has been left to rot, and is now full of cults, religions, rebel groups, law firms, and other undesirables.
DistrictType/district_type/=Slumdisplay_name|Slum
DistrictType/district_type/=Slumdescription|Very poor district.
DistrictType/district_type/=Suburbandescription|Suburban-style living, right in the city itself.  Full of middle-class troublemakers.
DistrictType/district_type/=IndustrialDistrictdisplay_name|Industrial District
DistrictType/district_type/=IndustrialDistrictdescription|Large focus on industry and warehousing.
DistrictType/district_type/=CommericalDistrictdisplay_name|Commerical District
DistrictType/district_type/=CommericalDistrictdescription|Large focus on commerce and services.
DistrictType/district_type/=BasicDistrictdisplay_name|Basic District
DistrictType/district_type/=BasicDistrictdescription|No particular focus; just lots of various things going on.
DistrictType/district_type/=MilitaryBasedisplay_name|Military Base
DistrictType/district_type/=MilitaryBasedescription|Large military strongholds.
DistrictType/district_type/=NuclearSilodescription|Nuclear launch facilities.
DistrictType/district_type/=NuclearPowerPlantdescription|Nuclear power generation facilities.
DistrictType/district_type/=ScientificResearchdescription|Science-focused region.
DistrictType/district_type/=CommStationdisplay_name|Comm Station
DistrictType/district_type/=CommStationdescription|Important communications hub.
DistrictType/district_type/=Spaceportdescription|The singular giant spaceport in the city.
