CohortStatusType/npc_cohort_status_type/=Mooddisplay_name|Mood
CohortStatusType/npc_cohort_status_type/=Mooddescription|How a cohort or sub-cohort is feeling in general.
CohortStatusType/npc_cohort_status_type/=Moodneutral_name|Neutral
CohortStatusType/npc_cohort_status_type/=Moodstressed_name|Unhappy
CohortStatusType/npc_cohort_status_type/=Moodextremely_stressed_name|Miserable
CohortStatusType/npc_cohort_status_type/=Moodsatisfied_name|Happy
CohortStatusType/npc_cohort_status_type/=Moodextremely_satisfied_name|Exuberant
CohortStatusType/npc_cohort_status_type/=Hungerdisplay_name|Hunger
CohortStatusType/npc_cohort_status_type/=Hungerdescription|How short on food is this population?
CohortStatusType/npc_cohort_status_type/=Hungerneutral_name|Sufficient Food
CohortStatusType/npc_cohort_status_type/=Hungerstressed_name|Hungry
CohortStatusType/npc_cohort_status_type/=Hungerextremely_stressed_name|Starving
CohortStatusType/npc_cohort_status_type/=ImmigrationRatedisplay_name|Immigration Rate
CohortStatusType/npc_cohort_status_type/=ImmigrationRatedescription|When positive, people are moving to this district from out of the city, while negative means people want to leave this district and go to other districts.
CohortStatusType/npc_cohort_status_type/=BirthRatedisplay_name|Birth Rate
CohortStatusType/npc_cohort_status_type/=BirthRatedescription|At what rate are new people of this sort born in this district?
CohortStatusType/npc_cohort_status_type/=HomeLossRatedisplay_name|Home Loss Rate
CohortStatusType/npc_cohort_status_type/=HomeLossRatedescription|At what rate do people become homeless?
CohortStatusType/npc_cohort_status_type/=ImprisonmentRatedisplay_name|Imprisonment Rate
CohortStatusType/npc_cohort_status_type/=ImprisonmentRatedescription|At what rate do people get thrown in prison?
CohortStatusType/npc_cohort_status_type/=Educationdescription|How educated is the population?
CohortStatusType/npc_cohort_status_type/=Educationneutral_name|Basic Education
CohortStatusType/npc_cohort_status_type/=Educationstressed_name|Remedial Education
CohortStatusType/npc_cohort_status_type/=Educationextremely_stressed_name|Uneducated
CohortStatusType/npc_cohort_status_type/=Educationsatisfied_name|Advanced Education
CohortStatusType/npc_cohort_status_type/=Educationextremely_satisfied_name|Elite Education
CohortStatusType/npc_cohort_status_type/=Safetydisplay_name|Safety
CohortStatusType/npc_cohort_status_type/=Safetydescription|How safe is this population from crime?
CohortStatusType/npc_cohort_status_type/=Safetyneutral_name|Nonthreatening
CohortStatusType/npc_cohort_status_type/=Safetystressed_name|Threatening
CohortStatusType/npc_cohort_status_type/=Safetyextremely_stressed_name|Dangerous
CohortStatusType/npc_cohort_status_type/=Safetysatisfied_name|Secure
CohortStatusType/npc_cohort_status_type/=Safetyextremely_satisfied_name|Safe and Sound
CohortStatusType/npc_cohort_status_type/=SecurityIntegritydisplay_name|Security Integrity
CohortStatusType/npc_cohort_status_type/=SecurityIntegritydescription|How resistant is District Security from internal corruption?
