SpaceNationType/space_nation_type/=Anarchydisplay_name|Anarchy
SpaceNationType/space_nation_type/=Anarchydescription|No central government body, but the people have some representatives for trade with other planets.
SpaceNationType/space_nation_type/=Aristocracydisplay_name|Aristocracy
SpaceNationType/space_nation_type/=Aristocracydescription|Nobility systems for the space age.
SpaceNationType/space_nation_type/=Bureaucracydisplay_name|Bureaucracy
SpaceNationType/space_nation_type/=Bureaucracydescription|Leadership is a job like any other.  Most decisions are made by state officials, rather than anyone elected, born into it, or otherwise.
SpaceNationType/space_nation_type/=Communismdisplay_name|Communism
SpaceNationType/space_nation_type/=Communismdescription|A society without classes, where the public owns everything jointly.
SpaceNationType/space_nation_type/=CorpoStatedisplay_name|Corpo-State
SpaceNationType/space_nation_type/=CorpoStatedescription|One or more corporations rule, via some degree of totalitarianism.
SpaceNationType/space_nation_type/=Councildisplay_name|Council
SpaceNationType/space_nation_type/=Councildescription|A governing council is elected or drafted via various means, and rules for specific terms.
SpaceNationType/space_nation_type/=Cyberocracydisplay_name|Cyberocracy
SpaceNationType/space_nation_type/=Cyberocracydescription|Since true artificial intelligence seems to be impossible, complex sets of algorithms are used to set social policies, distribution of goods and jobs, and so on.
SpaceNationType/space_nation_type/=Demarchydisplay_name|Demarchy
SpaceNationType/space_nation_type/=Demarchydescription|Power is held by those who win a random lottery, but only for a certain amount of time.  As the saying goes, leaders may be released early for good behavior.
SpaceNationType/space_nation_type/=Democracydisplay_name|Democracy
SpaceNationType/space_nation_type/=Democracydescription|The public are given votes to elect representatives in their government.
SpaceNationType/space_nation_type/=Dictatorshipdisplay_name|Dictatorship
SpaceNationType/space_nation_type/=Dictatorshipdescription|Rule is exercised by the few who are in central power, often with brutal suppression of dissent.  Details vary.
SpaceNationType/space_nation_type/=Empiredisplay_name|Empire
SpaceNationType/space_nation_type/=Empiredescription|A collection of multiple aligned states controlled by one central, often totalitarian or monarchist, authority.
SpaceNationType/space_nation_type/=Federationdisplay_name|Federation
SpaceNationType/space_nation_type/=Federationdescription|Rather than one central government, a collection of aligned-but-independent governments work togther.
SpaceNationType/space_nation_type/=Feudaldisplay_name|Feudal
SpaceNationType/space_nation_type/=Feudaldescription|Taking the idea of an aristocracy to the next level, with complex obligations between lords and vassals in a land-owner-focused government.
SpaceNationType/space_nation_type/=Gerontocracydisplay_name|Gerontocracy
SpaceNationType/space_nation_type/=Gerontocracydescription|Power is held by the elders of society.  Not uncommon to see cryosleep used to extend the rule of the eldest for generations.
SpaceNationType/space_nation_type/=Kritarchydisplay_name|Kritarchy
SpaceNationType/space_nation_type/=Kritarchydescription|Power is held by a judicial system, and customary law is set by judges without any form of statutory law to assist.
SpaceNationType/space_nation_type/=Meritocracydisplay_name|Meritocracy
SpaceNationType/space_nation_type/=Meritocracydescription|Citizens who score the best on various aptitude tests are assigned leadership positions.
SpaceNationType/space_nation_type/=Monarchydisplay_name|Monarchy
SpaceNationType/space_nation_type/=Monarchydescription|The population is ruled by an individual with absolute power that is passed down via bloodlines.
SpaceNationType/space_nation_type/=Oligarchydisplay_name|Oligarchy
SpaceNationType/space_nation_type/=Oligarchydescription|A small sect of wealthy elites rule, in public or in secret.
SpaceNationType/space_nation_type/=Plutocracydisplay_name|Plutocracy
SpaceNationType/space_nation_type/=Plutocracydescription|Wealth equals power, literally.  As the money of a citizen rises or falls, so does their personal representation and political capabilities.
SpaceNationType/space_nation_type/=Republicdescription|Power is held by the citizenry through a variety of forms of legislative bodies.
SpaceNationType/space_nation_type/=Stratocracydisplay_name|Stratocracy
SpaceNationType/space_nation_type/=Stratocracydescription|Power is held by a military hierarchy, with enlisted officers enforcing most decisions.
SpaceNationType/space_nation_type/=Technocracydisplay_name|Technocracy
SpaceNationType/space_nation_type/=Technocracydescription|Power is held by the skilled, and in particular the intellectual.
SpaceNationType/space_nation_type/=Theocracydisplay_name|Theocracy
SpaceNationType/space_nation_type/=Theocracydescription|A central religious ideological body rules over the people, often with requirements of strict adherence to religious doctrine.
SpaceNationType/space_nation_type/=Timocracydisplay_name|Timocracy
SpaceNationType/space_nation_type/=Timocracydescription|Power is held by the honorable, who are typically often aggressive or outright warlike.
SpaceNationType/space_nation_type/=Triumviratedisplay_name|Triumvirate
SpaceNationType/space_nation_type/=Triumviratedescription|Three co-equal rulers share absolute power, with the intent that they each act as a check against the other.
